_id,ID,APT,COMUNE_CODICE,COMUNE,DENOMINAZIONE,TIPOLOGIA,CATEGORIA,INDIRIZZO,FRAZIONE,CAP,PROV,TELEFONO,TELEFONO2,FAX,WEB,EMAIL,COORDX,COORDY,TOTALE_UNITA,TOTALE_LETTI,TOTALE_BAGNI
1,4945,2,054001,ASSISI, OSTELLO FONTEMAGGIO,Ostello della gioventu',Ostello della gioventu',Via Eremo delle Carceri 24,,06081,PG,075813636,075812317,075813749,www.fontemaggio.it,info@fontemaggio.it,2327078.82923,4770870.82219,16,74,17
2,17481,2,054001,ASSISI,A CASA DELLE FATE di Cannelli Lorena,Bed & Breakfast,Bed & Breakfast,Via Metastasio 24,,06081,PG,075813739,075816413,,www.casalefate.it,info@casalefate.it,,,2,4,2
3,18660,2,054001,ASSISI,A CASA MODESTINI di Vignoli Francesca,Bed & Breakfast,Bed & Breakfast,Via San Paolo 38,,06081,PG,3491930389,075812252,1782219813,,casamodestini@gmail.com,,,1,3,1
4,18126,2,054001,ASSISI,A CASA TUA di Mantovani Anna,Bed & Breakfast,Bed & Breakfast,Via Piaggia San Pietro 9,,06081,PG,075812987,329 7741497,,,info.acasatua@yahoo.it,,,2,3,2
5,13437,2,054001,ASSISI,ADALGISA di Sensi Adalgisa,Bed & Breakfast,Bed & Breakfast,Via Lorenzo Perosi 33,,06081,PG,075813378,,,,agricola@nizzi.com,2326766.01207,4771047.31195,2,5,2
6,9260,2,054001,ASSISI,AGORA',Centro soggiorno studi,Centro soggiorno studi,Voc. Le Case 42,SANTA MARIA DI LIGNANO,06081,PG,075802261,,,,assisiresort1@gmail.com,2333097.47994,4777327.42742,20,35,20
7,4948,2,054001,ASSISI,AGRICOLA NIZZI,Agriturismo,4 spighe,Costa di Trex 65,COSTA DI TREX,06081,PG,075813378,,,www.nizzi.com,agricola@nizzi.com,2329234.5407,4774594.86663,6,28,6
8,9392,2,054001,ASSISI,AGRITURISMO CASA NOCCHIA TOR DEI MAMMONI,Agriturismo,2 spighe,Costa di Trex 7,COSTA DI TREX,06081,PG,0758019025,,,www.agriturismocasanocchia.it,info@agriturismocasanocchia.it,2330306.71589236,4773159.98499175,4,10,4
9,4991,2,054001,ASSISI,AGRITURISMO CASA NUOVA,Agriturismo,2 spighe,Pian della Pieve 55,,06081,PG,075802143,,075802143,www.agriturismocasanuova.it,info@agriturismocasanuova.it,2329929.0570709,4775384.02814428,5,10,5
10,5048,2,054001,ASSISI,AGRITURISMO COL CACIONE,Agriturismo,3 spighe,Costa di Trex ,COSTA DI TREX,06081,PG,0758019010,3358352477,0758019010,www.agriturismocolcacione.it,colcacione@gmail.com,2330886.5545,4773295.99348,6,13,6
11,17160,2,054001,ASSISI,AGRITURISMO DOLCE SENTIRE,Agriturismo,2 spighe,Loc.Catecuccio 72,PORZIANO,06081,PG,3396180265,3392232293,,www.agriturismodolcesentireassisi.it,info@agriturismodolcesentireassisi.it,,,4,10,4
12,5018,2,054001,ASSISI,AGRITURISMO IL CASTELLO,Agriturismo,4 spighe,Costa di Trex 25,COSTA DI TREX,06081,PG,075813683,3333282225,075813683,www.agriturismoilcastello.com,info@agriturismoilcastello.com,2329870.59701,4773312.45254,9,18,9
13,4975,2,054001,ASSISI,AGRITURISMO IL GIRASOLE,Agriturismo,2 spighe,Via Campiglione 2,,06081,PG,075813449,3471030526,075813449,www.agriturismoilgirasole.net,info@agriturismoilgirasole.net,2321257.34415,4772124.77393,5,10,5
14,5073,2,054001,ASSISI,AGRITURISMO IL GROTTINO,Agriturismo,2 spighe,Via Campiglione 26,,06081,PG,3779986054,3474799436,,,agri.grottino@gmail.com,2321257.34415,4772124.77393,6,10,4
15,5074,2,054001,ASSISI,AGRITURISMO IL PODERE,Agriturismo,5 spighe,Via Casa  Madonna 14,PETRIGNANO,06081,PG,0758038806,3312689221,0758038806,www.agriturismoilpodere.com,agriturismoilpodereassisi@gmail.com,2319532.98626,4775286.41238,5,10,5
16,5017,2,054001,ASSISI,AGRITURISMO LA CANTINA,Agriturismo,2 spighe,Via Campiglione 22,,06081,PG,075813386,,075813386,www.agriturismolacantina.it,agri.lacantina@alice.it,2322844.98721,4772253.12298,12,28,14
